idDrone,idRegion,RegionState,StreetCode1,StreetCode2,StreetCode3,HouseNumber,StreetName,longitude,latitude,currentDate,currentTime,violationType,code,violationDescription,idPhoto,plaque,plateType,VehicleBodyType,VehicleMake,VehicleColor
810,985,NJ,0,0,0,"",OCEAN PKWY(N/B)@SHOR,-67.82852,-124.300964,"",07:43:00,1,7,FAILURE TO STOP AT RED LIGHT,mow2QSX5Qm,Z39ACH,"",4 DR,NISSA,WT
21,2,NY,0,0,0,"",HORACE HARDING EXPWY,-71.08092,-72.037315,"",07:45:00,1,7,FAILURE TO STOP AT RED LIGHT,SOoaH3q99w,92954JE,"",VAN,DODGE,WH
77,7,NY,0,0,0,"",BRONXDALE AVE. (W/B),-77.54399,-78.55016,"",07:43:00,1,7,FAILURE TO STOP AT RED LIGHT,1k4fKFcxZ3,FEC1361,"",SUBN,BMW,GY
35,3,NY,0,0,0,"",E. FORDHAM RD.(W/B)@,-72.76343,-74.239204,"",07:48:00,1,7,FAILURE TO STOP AT RED LIGHT,zoODDNK8Fd,EWT7303,"",4DSD,VOLKS,GY
74,7,NY,0,0,0,"",HORACE HARDING EXPWY,-76.99314,-79.12731,"",07:49:00,1,7,FAILURE TO STOP AT RED LIGHT,DQSB0Uy4of,64133LA,"","",FORD,WH
47,4,NY,0,0,0,"",HORACE HARDING EXPWY,-73.23172,-75.699905,"",07:45:00,1,7,FAILURE TO STOP AT RED LIGHT,owqxgxOc77,GDS7640,"","",HONDA,BK
15,1,NY,0,0,0,"",E. FORDHAM RD.(W/B)@,-71.02403,-73.73403,"",07:52:00,1,7,FAILURE TO STOP AT RED LIGHT,XLsYNCkLO1,EWD5626,"",SUBN,KIA,WH
13,1,NY,0,0,0,"",ASTORIA BLVD.(W/B)@9,-70.752304,-72.909836,"",07:54:00,1,7,FAILURE TO STOP AT RED LIGHT,Hmz5pOCMZW,90066JA,"","",MACK,WH
47,4,NY,0,0,0,"",L.I.E. N. SVC ROAD (,-73.29384,-74.61451,"",07:54:00,1,7,FAILURE TO STOP AT RED LIGHT,ccEnLqBMMj,GEG9442,"",SUBN,TOYOT,WH
15,1,NY,0,0,0,"",NORTHERN BLVD.(W/B)@,-71.84255,-72.07741,"",07:54:00,1,7,FAILURE TO STOP AT RED LIGHT,vO1dgbDqe8,N101919C,"","",FORD,WH
31,3,NY,0,0,0,"",ASTORIA BLVD.(W/B)@9,-72.42404,-74.14087,"",07:56:00,1,7,FAILURE TO STOP AT RED LIGHT,k3A6CUPbwR,88647JE,"","",TOYOT,BK
43,4,NY,0,0,0,"",ATLANTIC AVE.(E/B)@P,-73.17852,-74.574875,"",07:53:00,1,7,FAILURE TO STOP AT RED LIGHT,82HeGevIrf,EMN9137,"",4DSD,TOYOT,BK
63,6,NY,0,0,0,"",ROCKAWAY BLVD. (S/B),-75.84375,-77.88483,"",08:02:00,1,7,FAILURE TO STOP AT RED LIGHT,6w4WKiDCQC,GAR7237,"","",FORD,WH
46,4,NY,0,0,0,"",PENNSYLVANIA AVE.(N/,-72.03974,-74.03998,"",08:02:00,1,7,FAILURE TO STOP AT RED LIGHT,BDr6Np0Gn3,GCG6873,"","",JEEP,GR
26,2,NY,0,0,0,"",5TH AVE.(S/B)@40TH S,-71.939514,-72.466255,"",07:42:00,1,7,FAILURE TO STOP AT RED LIGHT,H4mMiw3nl3,T627898C,"",4DSD,LINCO,TN
63,6,NY,0,0,0,"",GRAND CONCOURSE(N/B),-75.705154,-76.000755,"",07:54:00,1,7,FAILURE TO STOP AT RED LIGHT,apU9M7HHD4,ETL3024,"",SUBN,TOYOT,GY
1618,2033,NJ,0,0,0,"",NORTHERN BLVD.(E/B)@,-56.757805,-78.13867,"",08:04:00,1,7,FAILURE TO STOP AT RED LIGHT,G0Tbmaa7v4,RCC46T,"",WAGO,NISSA,GN
1970,137,NJ,0,0,0,"",REMSEN AVE.(N/B)@WIN,-67.140236,-108.240654,"",08:04:00,1,7,FAILURE TO STOP AT RED LIGHT,liRnUZjyXc,MXZ67P,"",4 DR,VOLVO,GY
54,5,NY,0,0,0,"",GRAND CONCOURSE(N/B),-74.349915,-77.829704,"",08:06:00,1,7,FAILURE TO STOP AT RED LIGHT,NgSZr9KBtz,53197JR,"","",INTER,WH
75,7,NY,0,0,0,"",OCEAN PKWY(N/B)@SHOR,-76.406136,-79.82056,"",08:01:00,1,7,FAILURE TO STOP AT RED LIGHT,0slDr9EM8g,GOMEL,"",4DSD,ME/BE,BK
21,2,NY,0,0,0,"",E. 135TH ST. (W)@ AL,-71.64598,-72.45098,"",08:03:00,1,7,FAILURE TO STOP AT RED LIGHT,IWnaQny8gT,GFZ2471,"","",TOYOT,GY
37,3,NY,0,0,0,"",HORACE HARDING EXPWY,-72.65517,-74.97676,"",08:05:00,1,7,FAILURE TO STOP AT RED LIGHT,SPtkT1RziA,EFL9783,"",4DSD,TOYOT,GY
27,2,NY,0,0,0,"",ATLANTIC AVE.(E/B)@P,-71.65129,-73.599266,"",08:07:00,1,7,FAILURE TO STOP AT RED LIGHT,FxwCQT8nhD,GCX5115,"",4DSD,DODGE,WH
44,4,NY,0,0,0,"",CONEY ISLAND AVE.(S/,-73.2094,-75.00903,"",02:58:00,1,7,FAILURE TO STOP AT RED LIGHT,nrqy9pJwLB,ERM2888,"","",DODGE,GY
53,5,NY,0,0,0,"",WEST ST.  (S/B) @  W,-75.999756,-76.26136,"",02:53:00,1,7,FAILURE TO STOP AT RED LIGHT,F4suRXBmkz,5K69A,"",TAXI,FORD,YW
61,6,NY,0,0,0,"",PENNSYLVANIA AVE.(N/,-75.553734,-77.27901,"",03:02:00,1,7,FAILURE TO STOP AT RED LIGHT,YnPtOZcQ9P,T511143C,"",4DSD,TOYOT,GY
33,3,NY,0,0,0,"",BRUCKNER BLVD.(E/B)@,-72.80614,-75.44276,"",03:06:00,1,7,FAILURE TO STOP AT RED LIGHT,lbeXGq1Vhl,98523MC,"",VAN,CHEVR,WH
14,1,NY,0,0,0,"",BORDEN AVE.(E/B)@GRE,-71.70724,-73.33421,"",03:13:00,1,7,FAILURE TO STOP AT RED LIGHT,AlpNb0ybhb,T527541C,"",LIM,LINCO,BK
41,4,NY,0,0,0,"",PARK AVE.(W/B)@WASHI,-73.55528,-74.73634,"",03:16:00,1,7,FAILURE TO STOP AT RED LIGHT,CJnGngmTRf,GFC6273,"",4DSD,CHEVR,WH
24,2,NY,0,0,0,"",KINGS HWY(N/B)@BEVER,-71.87003,-72.47558,"",03:41:00,1,7,FAILURE TO STOP AT RED LIGHT,seAM2HqepX,EPJ1252,"",SUBN,HONDA,BR
12,1,NY,0,0,0,"",OCEAN PKWY.(N/B)@AVE,-71.61035,-72.60552,"",11:49:00,1,7,FAILURE TO STOP AT RED LIGHT,89hBbiKxP1,440AIR,"","",INFIN,GREY
27,2,NY,0,0,0,"",PENNSYLVANIA AVE.(N/,-70.33388,-72.78556,"",02:57:00,1,7,FAILURE TO STOP AT RED LIGHT,0YdIy8B0uu,FFL8941,"","",INFIN,GY
72,7,NY,0,0,0,"",QUEENS BLVD.(W/B)@BR,-76.50412,-78.49907,"",03:01:00,1,7,FAILURE TO STOP AT RED LIGHT,Jr4v18zeCj,EWR1161,"",SUBN,FORD,WH
47,4,NY,0,0,0,"",BORDEN AVE.(E/B)@GRE,-73.57027,-74.983955,"",03:21:00,1,7,FAILURE TO STOP AT RED LIGHT,7gW9uig2FW,GFH7340,"",SUBN,TOYOT,WH
22,2,NY,0,0,0,"",12TH AVE.(N/B)@42ND,-71.67746,-73.41477,"",03:50:00,1,7,FAILURE TO STOP AT RED LIGHT,JXri6X6uCG,7H54A,"","",NISSA,YW
31,3,NY,0,0,0,"",GUN HILL ROAD(W/B)@E,-73.91021,-74.978714,"",03:49:00,1,7,FAILURE TO STOP AT RED LIGHT,1wUfC6no4c,GCR5093,"",VAN,CHRYS,BL
15,1,NY,0,0,0,"",PENNSYLVANIA AVE.(N/,-70.82897,-72.029175,"",04:06:00,1,7,FAILURE TO STOP AT RED LIGHT,GN7os98k4H,T495877C,"","",MERCU,GR
57,5,NY,0,0,0,"",VAN WYCK EXP.SVC. RD,-75.72985,-77.47886,"",04:13:00,1,7,FAILURE TO STOP AT RED LIGHT,lZZpOi2k1W,GAW4570,"",SUBN,NISSA,WH
670,2051,CT,0,0,0,"",WEST ST.  (S/B) @  W,-65.39963,-70.28858,"",02:06:00,1,7,FAILURE TO STOP AT RED LIGHT,AnqK8hl0I5,339ZSM,"",4D S,NISSA,GRY
22,2,NY,0,0,0,"",QUEENS BLVD.(W/B)@BR,-70.55571,-73.53675,"",04:29:00,1,7,FAILURE TO STOP AT RED LIGHT,xXefGaQ2KB,ENK4747,"",SUBN,NISSA,GY
62,6,NY,0,0,0,"",QUEENS BLVD.(W/B)@BR,-74.33867,-76.63197,"",04:19:00,1,7,FAILURE TO STOP AT RED LIGHT,IkBZQpce7n,EGL4843,"","",ME/BE,GY
22,2,NY,0,0,0,"",ATLANTIC AVE.(W)@ BE,-71.00396,-73.38682,"",04:30:00,1,7,FAILURE TO STOP AT RED LIGHT,Hdnob7gTJP,7P37C,"",TAXI,FORD,YW
65,6,NY,0,0,0,"",E. 135TH ST. (W)@ AL,-74.86795,-77.30287,"",04:41:00,1,7,FAILURE TO STOP AT RED LIGHT,MHHxOmJUfr,74767MC,"",REFG,ISUZU,WH
53,5,NY,0,0,0,"",EASTBOUND SO. GANNON,-74.96754,-76.448044,"",04:42:00,1,7,FAILURE TO STOP AT RED LIGHT,riapkPq1BP,513082,"",SUBN,FORD,BKGY
1950,1866,TN,0,0,0,"",LINDEN BLVD.(W/B)@RO,-53.203506,-101.18988,"",04:37:00,1,7,FAILURE TO STOP AT RED LIGHT,dRUV0u9XUB,U444114,"",SE,PONTI,WHI
43,4,NY,0,0,0,"",QUEENS BLVD.(E/B)@39,-72.965225,-74.85728,"",05:16:00,1,7,FAILURE TO STOP AT RED LIGHT,iTtVkkGove,FDN6305,"",SUBN,HUMME,BK
75,7,NY,0,0,0,"",REMSEN AVE.(N/B)@WIN,-76.8048,-79.15635,"",01:36:00,1,7,FAILURE TO STOP AT RED LIGHT,CxA15QSCnI,GEN7661,"",2DSD,FORD,RD
63,6,NY,0,0,0,"",BRUCKNER BLVD.(E/B)@,-75.06687,-77.40067,"",05:20:00,1,7,FAILURE TO STOP AT RED LIGHT,lJUDtdE4mj,GHK2682,"",4DSD,BMW,BK
11,1,NY,0,0,0,"",E. 135TH ST. (W)@ AL,-71.80877,-73.30621,"",05:40:00,1,7,FAILURE TO STOP AT RED LIGHT,hQe7VjiBMu,GCM6229,"",SUBN,FORD,WH
44,4,NY,0,0,0,"",BRONX RIVER PKWY OFF,-73.308624,-75.210335,"",05:37:00,1,7,FAILURE TO STOP AT RED LIGHT,shnz4NeiyL,T528407C,"",SUBN,FORD,GR
23,2,NY,0,0,0,"",E. 135TH ST. (W)@ AL,-71.420166,-72.800186,"",05:48:00,1,7,FAILURE TO STOP AT RED LIGHT,sE6fNIEwv3,EMP6871,"","",NISSA,RD
1844,1033,NJ,0,0,0,"",RICHMOND RD.(E/B)@ N,-60.123905,-100.06913,"",05:43:00,1,7,FAILURE TO STOP AT RED LIGHT,DpkU8PahCV,PVK61R,"","",FORD,BG
74,7,NY,0,0,0,"",CADMAN PLAZA(E/B)@PR,-77.47287,-79.011086,"",05:48:00,1,7,FAILURE TO STOP AT RED LIGHT,Kkiph8Zzam,ESU8107,"",4DSD,FORD,BK
44,4,NY,0,0,0,"",SO. CONDUIT AVE. (E/,-73.92355,-74.86094,"",05:54:00,1,7,FAILURE TO STOP AT RED LIGHT,SP5h7VNY84,GFL3292,"",4DSD,BMW,BL
74,7,NY,0,0,0,"",CADMAN PLAZA(E/B)@PR,-77.28009,-78.465614,"",06:03:00,1,7,FAILURE TO STOP AT RED LIGHT,1qlvC3aAma,4H76A,"",TAXI,FORD,YW
74,7,NY,0,0,0,"",HORACE HARDING EXPWY,-77.58092,-79.52327,"",05:21:00,1,7,FAILURE TO STOP AT RED LIGHT,1L53Og4LT5,GDV8062,"",SUBN,HONDA,BK
57,5,NY,0,0,0,"",SEAGIRT BLVD.(W/B)@B,-74.11949,-76.0798,"",05:46:00,1,7,FAILURE TO STOP AT RED LIGHT,Cf4SnnMA6h,ENB6504,"",SUBN,JEEP,GR
76,7,NY,0,0,0,"",WHITESTONE EXPWY.SVC,-76.833115,-79.71977,"",06:06:00,1,7,FAILURE TO STOP AT RED LIGHT,9hMahcoMjZ,MKSICKS,"",4DSD,VOLKS,GY
23,2,NY,0,0,0,"",KINGS HWY(N/B)@BEVER,-70.1343,-73.24954,"",03:23:00,1,7,FAILURE TO STOP AT RED LIGHT,OJX4dwIUhX,7K92B,"",TAXI,FORD,YW
1773,906,NC,0,0,0,"",ATLANTIC AVE.(E/B)@L,-59.153244,-76.86223,"",06:06:00,1,7,FAILURE TO STOP AT RED LIGHT,QEv79kmza1,ZF3508,"",BUS,VAN H,WH
72,7,NY,0,0,0,"",PARK AVE.(W/B)@WASHI,-76.81427,-79.91338,"",06:10:00,1,7,FAILURE TO STOP AT RED LIGHT,DKAY4lrf3t,5P25H,"",TAXI,FORD,YW
41,4,NY,0,0,0,"",PARK AVE.(W/B)@WASHI,-73.00058,-75.070564,"",06:10:00,1,7,FAILURE TO STOP AT RED LIGHT,Zz2GK89hKq,EKC3346,"",SUBN,ACURA,BK
25,2,NY,0,0,0,"",JAMACIA AVE.(E/B)@PE,-71.72075,-72.20484,"",06:11:00,1,7,FAILURE TO STOP AT RED LIGHT,xLyzXV2qim,EWY9803,"",SUBN,NISSA,BK
22,2,NY,0,0,0,"",CONEY ISLAND AVE.(S/,-70.63956,-73.6345,"",06:22:00,1,7,FAILURE TO STOP AT RED LIGHT,tOgjQNB5Mv,508260,"",SUBN,HONDA,WH
21,2,NY,0,0,0,"",3RD AVE.(S/B)@E. 135,-71.61976,-73.81137,"",06:27:00,1,7,FAILURE TO STOP AT RED LIGHT,eoCOix0PzC,7C23H,"",TAXI,FORD,YW
1006,1968,NJ,0,0,0,"",QUEENS BLVD. (E/B) @,-60.030113,-122.91254,"",06:31:00,1,7,FAILURE TO STOP AT RED LIGHT,7O5gBbOTyC,YCG57U,"","",HONDA,BL
13,1,NY,0,0,0,"",CONEY ISLAND AVE.(S/,-71.68728,-73.65715,"",04:53:00,1,7,FAILURE TO STOP AT RED LIGHT,ByWuZRjnOz,HNYBEEF,"",4DSD,INFIN,BL
73,7,NY,0,0,0,"",CLOVE RD (N/B)@CHESH,-76.34088,-78.06066,"",06:38:00,1,7,FAILURE TO STOP AT RED LIGHT,ZEqwKExKFY,GHJ1875,"",2DSD,INFIN,GY
31,3,NY,0,0,0,"",QUEENS BLVD. (W/B) @,-73.9507,-75.02697,"",06:27:00,1,7,FAILURE TO STOP AT RED LIGHT,m7NIcpiJFF,65305JV,"",DELV,ISUZU,WH
57,5,NY,0,0,0,"",EASTERN PKWY.(E)@UTI,-74.57211,-76.84864,"",06:39:00,1,7,FAILURE TO STOP AT RED LIGHT,kyMdWmra2n,GCU6749,"",4DSD,HYUND,BL
16,1,NY,0,0,0,"",PARK AVE.(W/B)@WASHI,-71.63053,-73.7483,"",06:42:00,1,7,FAILURE TO STOP AT RED LIGHT,dXKoiszw1o,GEW4229,"",SUBN,CHRYS,BK
77,7,NY,0,0,0,"",ASTORIA BLVD.(W/B)@S,-77.41932,-78.124504,"",06:08:00,1,7,FAILURE TO STOP AT RED LIGHT,aGCmVKcq0a,63216PA,"","",KW,RD
854,409,NJ,0,0,0,"",FLATBUSH AVE.(S/B)@D,-65.464935,-112.59066,"",06:28:00,1,7,FAILURE TO STOP AT RED LIGHT,3CKPjYbHo7,PSR50T,"",WAGO,FORD,GN
37,3,NY,0,0,0,"",CRS BRNX EXP. (W)@RO,-72.00225,-74.277115,"",06:44:00,1,7,FAILURE TO STOP AT RED LIGHT,Tth2j3wa4l,GFG5303,"",4DSD,NISSA,GR
46,4,NY,0,0,0,"",HORACE HARDING EXPWY,-72.25196,-75.206245,"",06:52:00,1,7,FAILURE TO STOP AT RED LIGHT,nW6U240heS,L30457,"",BUS,CHEVR,BLWH
22,2,NY,0,0,0,"",PARK AVE.(W/B)@WASHI,-71.304245,-72.806854,"",06:52:00,1,7,FAILURE TO STOP AT RED LIGHT,VTsOG5fEEN,GEP7265,"",4DSD,SUBAR,WH
35,3,NY,0,0,0,"",BRONXDALE AVE. (W/B),-73.060875,-74.60883,"",06:53:00,1,7,FAILURE TO STOP AT RED LIGHT,i04Q52qGIu,FEB5380,"",4DSD,ACURA,BK
26,2,NY,0,0,0,"",QUEENS BLVD. (E/B) @,-70.42564,-72.29061,"",06:54:00,1,7,FAILURE TO STOP AT RED LIGHT,AVaslVGnVS,67970MC,"",VAN,CHEVR,WH
14,1,NY,0,0,0,"",ATLANTIC AVE.(W)@ BE,-70.631165,-73.34161,"",06:55:00,1,7,FAILURE TO STOP AT RED LIGHT,8vxB2ZDEGv,GDB1344,"",4DSD,TOYOT,WH
53,5,NY,0,0,0,"",L.I.E. N. SVC ROAD (,-75.0382,-76.619804,"",06:48:00,1,7,FAILURE TO STOP AT RED LIGHT,7RUxkeKupr,34852MA,"",VAN,FORD,WH
32,3,NY,0,0,0,"",ATLANTIC AVE.(E/B)@L,-73.26875,-75.91773,"",06:50:00,1,7,FAILURE TO STOP AT RED LIGHT,3t1JDEnNBV,GEK9311,"",4DSD,NISSA,WH
56,5,NY,0,0,0,"",ATLANTIC AVE.(W/B)@F,-75.95475,-76.878685,"",07:03:00,1,7,FAILURE TO STOP AT RED LIGHT,cMqrDQruye,T622291C,"",SUBN,FORD,GY
66,6,NY,0,0,0,"",ASTORIA BLVD.(W/B)@9,-74.616234,-76.270775,"",07:04:00,1,7,FAILURE TO STOP AT RED LIGHT,boXoErcinp,34291JU,"","",DODGE,WH
27,2,NY,0,0,0,"",W. FORDHAM RD.(W/B)@,-71.227875,-72.73014,"",07:04:00,1,7,FAILURE TO STOP AT RED LIGHT,Ch3mJKdOOu,GBU1956,"","",JEEP,BL
271,384,VA,0,0,0,"",HORACE HARDING EXPWY,-68.90228,-87.20666,"",07:07:00,1,7,FAILURE TO STOP AT RED LIGHT,zLankaoobL,WXK6797,"",4D,MITSU,WHI
47,4,NY,0,0,0,"",BOSTON RD.(E)@ PELHA,-72.691925,-75.67604,"",07:11:00,1,7,FAILURE TO STOP AT RED LIGHT,CGZ6oYTrXJ,EVH4972,"","",HONDA,RD
23,2,NY,0,0,0,"",REMSEN AVE.(N/B)@WIN,-71.33148,-72.36548,"",07:04:00,1,7,FAILURE TO STOP AT RED LIGHT,7P2u9K3hHf,FBC6023,"",SUBN,ME/BE,GY
35,3,NY,0,0,0,"",FRANCIS LEWIS BLVD.(,-73.3623,-75.05945,"",07:14:00,1,7,FAILURE TO STOP AT RED LIGHT,KR5GMTbvQ7,GGP4002,"",4DSD,NISSA,GY
62,6,NY,0,0,0,"",QUEENS MIDTOWN EXPWY,-75.03185,-77.010666,"",07:16:00,1,7,FAILURE TO STOP AT RED LIGHT,Tlsj1nctou,EXA3441,"",4DSD,NISSA,GL
1852,400,CT,0,0,0,"",VICTORY BLVD (E/B) @,-66.060844,-74.83649,"",07:17:00,1,7,FAILURE TO STOP AT RED LIGHT,ouBuXe3vv2,367ZXA,"",UTIL,ACURA,GRY
2054,879,CT,0,0,0,"",VAN WYCK EXP.SVC. RD,-58.021713,-123.049576,"",07:21:00,1,7,FAILURE TO STOP AT RED LIGHT,kyP0qfls2i,593ZGM,"",ST W,BMW,BLK
16,1,NY,0,0,0,"",ATLANTIC AVE.(E/B)@L,-71.49816,-72.36065,"",07:22:00,1,7,FAILURE TO STOP AT RED LIGHT,GGQvIaQxTE,EGB1259,"","",FORD,BK
46,4,NY,0,0,0,"",RICHMOND AVE.(S/B)@,-72.24502,-75.89273,"",06:40:00,1,7,FAILURE TO STOP AT RED LIGHT,1O1GuWF1aB,R35184,"",DUMP,MACK,YW
21,2,NY,0,0,0,"",QUEENS BLVD. (E/B) @,-70.27673,-73.41977,"",07:00:00,1,7,FAILURE TO STOP AT RED LIGHT,D21CIudXBJ,GED9286,"",4DSD,BMW,BK
54,5,NY,0,0,0,"",REMSEN AVE.(N/B)@WIN,-75.69658,-76.09929,"",07:22:00,1,7,FAILURE TO STOP AT RED LIGHT,boesdm82sM,98625JV,"","",WHITE,WH
1603,1180,IL,0,0,0,"",FLATBUSH AVE.(S/B)@D,-63.12437,-104.958206,"",07:24:00,1,7,FAILURE TO STOP AT RED LIGHT,u3FSntmvEX,R518887,"",4DOO,HYUND,GRY
1534,647,GA,0,0,0,"",QUEENS BLVD. (W/B) @,-52.01549,-91.31767,"",07:25:00,1,7,FAILURE TO STOP AT RED LIGHT,EqX1lXDgXV,PQY3805,"",MP,NISSA,SIL
44,4,NY,0,0,0,"",FOREST AVE. (E/B) @,-72.50509,-74.16411,"",07:27:00,1,7,FAILURE TO STOP AT RED LIGHT,roZjiUs3I8,GBG8748,"","",FORD,GY
41,4,NY,0,0,0,"",NORTHERN BLVD.(E/B)@,-72.185165,-75.97755,"",07:30:00,1,7,FAILURE TO STOP AT RED LIGHT,VX33R3e5BG,ETY3080,"",SUBN,HONDA,BK
37,3,NY,0,0,0,"",CONEY ISLAND AVE.(S/,-73.52205,-75.34282,"",07:08:00,1,7,FAILURE TO STOP AT RED LIGHT,yHkYUv65ME,ETU6920,"",4DSD,MAZDA,BK
67,6,NY,0,0,0,"",SEAGIRT BLVD.(W/B)@B,-75.9865,-77.71218,"",07:25:00,1,7,FAILURE TO STOP AT RED LIGHT,HQEyUiMVbu,N102920C,"",SUBN,FORD,WH
72,7,NY,0,0,0,"",ATLANTIC AVE.(E/B)@P,-76.792404,-78.52312,"",07:27:00,1,7,FAILURE TO STOP AT RED LIGHT,rgZjA8IE2d,GDM2974,"",SUBN,GMC,LTGY
56,5,NY,0,0,0,"",ATLANTIC AVE.(E/B)@,-74.916954,-76.984856,"",07:30:00,1,7,FAILURE TO STOP AT RED LIGHT,ahmMH32cFg,T520715C,"",4DSD,FORD,BK
17,1,NY,0,0,0,"",EASTERN PKWY (W/B)@B,-70.670845,-73.04773,"",07:31:00,1,7,FAILURE TO STOP AT RED LIGHT,715wck8VSh,T616286C,"",VAN,DODGE,BL
